t_100,V_in_100,I_out_100,t_200,V_in_200,I_out_200,t_400,V_in_400,I_out_400,t_800,V_in_800,I_out_800,t_1600,V_in_1600,I_out_1600,t_3200,V_in_3200,I_out_3200,t_6400,V_in_6400,I_out_6400,t_12800,V_in_12800,I_out_12800,t_25600,V_in_25600,I_out_25600,t_51200,V_in_51200,I_out_51200,t_102400,V_in_102400,I_out_102400,t_204800,V_in_204800,I_out_204800,t_409600,V_in_409600,I_out_409600,t_819200,V_in_819200,I_out_819200,t_1638400,V_in_1638400,I_out_1638400,t_3276800,V_in_3276800,I_out_3276800,t_6553600,V_in_6553600,I_out_6553600
3.210000000000000353e-02,1.598162215862240831e+00,-3.075205116402363557e-07,1.605000000000000177e-02,1.598162215862240831e+00,-7.103643822157833143e-07,8.025000000000000883e-03,1.598162215862240831e+00,-1.767431955495200226e-06,4.012500000000000441e-03,1.598162215862240831e+00,-4.556190240435102039e-06,2.006250000000000221e-03,1.598162215862240831e+00,-1.035125742766404942e-05,1.003125000000000110e-03,1.598162215862240831e+00,-1.670804404616163237e-05,5.015625000000000552e-04,1.598162215862240831e+00,-1.967071562112379069e-05,2.507812500000000276e-04,1.598162215862240831e+00,-2.028423357541084490e-05,1.253906250000000138e-04,1.598162215862240831e+00,-2.025331815200964464e-05,6.269531250000000690e-05,1.598162215862240831e+00,-2.014591361124820271e-05,3.134765625000000345e-05,1.598162215862240831e+00,-2.006910373837439413e-05,1.567382812500000172e-05,1.598162215862240831e+00,-2.002496365843154868e-05,7.836914062500000862e-06,1.598162215862240831e+00,-2.000146863505593604e-05,3.918457031250000431e-06,1.598162215862240831e+00,-1.998936620008666396e-05,1.959228515625000215e-06,1.598162215862240831e+00,-1.998322643090177066e-05,9.796142578125001077e-07,1.598162215862240831e+00,-1.998013443163317872e-05,4.898071289062500539e-07,1.598162215862240831e+00,-1.997858290628952186e-05
3.219999999999999946e-02,1.620773963702335729e+00,-2.448328750145612930e-07,1.609999999999999973e-02,1.620773963702335729e+00,-5.873439183209326727e-07,8.049999999999999864e-03,1.620773963702335729e+00,-1.534052136917112716e-06,4.024999999999999932e-03,1.620773963702335729e+00,-4.157830185617329409e-06,2.012499999999999966e-03,1.620773963702335729e+00,-9.844738540937211880e-06,1.006249999999999983e-03,1.620773963702335729e+00,-1.634491286309224756e-05,5.031249999999999915e-04,1.620773963702335729e+00,-1.957002598096869953e-05,2.515624999999999957e-04,1.620773963702335729e+00,-2.036831631537665806e-05,1.257812499999999979e-04,1.620773963702335729e+00,-2.043659170511879977e-05,6.289062499999999894e-05,1.620773963702335729e+00,-2.037907519769992701e-05,3.144531249999999947e-05,1.620773963702335729e+00,-2.032708659382502335e-05,1.572265624999999973e-05,1.620773963702335729e+00,-2.029530168825001584e-05,7.861328124999999867e-06,1.620773963702335729e+00,-2.027796730608903445e-05,3.930664062499999934e-06,1.620773963702335729e+00,-2.026894057216201901e-05,1.965332031249999967e-06,1.620773963702335729e+00,-2.026433745088366395e-05,9.826660156249999834e-07,1.620773963702335729e+00,-2.026201346896035947e-05,4.913330078124999917e-07,1.620773963702335729e+00,-2.026084587489378940e-05
3.230000000000000232e-02,1.636989257168888656e+00,-1.811789948847009941e-07,1.615000000000000116e-02,1.636989257168888656e+00,-4.620054763123743090e-07,8.075000000000000580e-03,1.636989257168888656e+00,-1.294618115396356176e-06,4.037500000000000290e-03,1.636989257168888656e+00,-3.743061074588826216e-06,2.018750000000000145e-03,1.636989257168888656e+00,-9.299366968822479887e-06,1.009375000000000073e-03,1.636989257168888656e+00,-1.591727577623260314e-05,5.046875000000000363e-04,1.636989257168888656e+00,-1.939210238896113336e-05,2.523437500000000181e-04,1.636989257168888656e+00,-2.037201461624425764e-05,1.261718750000000091e-04,1.636989257168888656e+00,-2.053921136735849574e-05,6.308593750000000453e-05,1.636989257168888656e+00,-2.053180988466018716e-05,3.154296875000000227e-05,1.636989257168888656e+00,-2.050484772505234830e-05,1.577148437500000113e-05,1.636989257168888656e+00,-2.048554343434634203e-05,7.885742187500000566e-06,1.636989257168888656e+00,-2.047443810428707488e-05,3.942871093750000283e-06,1.636989257168888656e+00,-2.046852269579717875e-05,1.971435546875000142e-06,1.636989257168888656e+00,-2.046547438884208355e-05,9.857177734375000708e-07,1.636989257168888656e+00,-2.046392759595899811e-05,4.928588867187500354e-07,1.636989257168888656e+00,-2.046314854112986329e-05
3.239999999999999825e-02,1.646744101906647773e+00,-1.168100840348473445e-07,1.619999999999999912e-02,1.646744101906647773e+00,-3.348437097590501068e-07,8.099999999999999561e-03,1.646744101906647773e+00,-1.050074827628914306e-06,4.049999999999999781e-03,1.646744101906647773e+00,-3.313519811540912372e-06,2.024999999999999890e-03,1.646744101906647773e+00,-8.717295043758516599e-06,1.012499999999999945e-03,1.646744101906647773e+00,-1.542682047379580470e-05,5.062499999999999726e-04,1.646744101906647773e+00,-1.913764702823322065e-05,2.531249999999999863e-04,1.646744101906647773e+00,-2.029531388250971696e-05,1.265624999999999931e-04,1.646744101906647773e+00,-2.056077214580432619e-05,6.328124999999999657e-05,1.646744101906647773e+00,-2.060351489809737047e-05,3.164062499999999829e-05,1.646744101906647773e+00,-2.060168559008272301e-05,1.582031249999999914e-05,1.646744101906647773e+00,-2.059493809946184661e-05,7.910156249999999572e-06,1.646744101906647773e+00,-2.059010564916849187e-05,3.955078124999999786e-06,1.646744101906647773e+00,-2.058732491153053619e-05,1.977539062499999893e-06,1.646744101906647773e+00,-2.058584344917360943e-05,9.887695312499999465e-07,1.646744101906647773e+00,-2.058507994981558395e-05,4.943847656249999732e-07,1.646744101906647773e+00,-2.058469250879738492e-05
3.250000000000000111e-02,1.649999999999999911e+00,-5.198017714875206137e-08,1.625000000000000056e-02,1.649999999999999911e+00,-2.063604680588323210e-07,8.125000000000000278e-03,1.649999999999999911e+00,-8.013873742503491718e-07,4.062500000000000139e-03,1.649999999999999911e+00,-2.870901599600004142e-06,2.031250000000000069e-03,1.649999999999999911e+00,-8.100819937710051008e-06,1.015625000000000035e-03,1.649999999999999911e+00,-1.487548255879275229e-05,5.078125000000000173e-04,1.649999999999999911e+00,-1.880766411784410698e-05,2.539062500000000087e-04,1.649999999999999911e+00,-2.013851681692784538e-05,1.269531250000000043e-04,1.649999999999999911e+00,-2.050118894991395188e-05,6.347656250000000217e-05,1.649999999999999911e+00,-2.059390725108235662e-05,3.173828125000000108e-05,1.649999999999999911e+00,-2.061721801410391067e-05,1.586914062500000054e-05,1.649999999999999911e+00,-2.062305395283100517e-05,7.934570312500000271e-06,1.649999999999999911e+00,-2.062451345377714008e-05,3.967285156250000136e-06,1.649999999999999911e+00,-2.062487836129218259e-05,1.983642578125000068e-06,1.649999999999999911e+00,-2.062496959018853419e-05,9.918212890625000339e-07,1.649999999999999911e+00,-2.062499239753872666e-05,4.959106445312500169e-07,1.649999999999999911e+00,-2.062499809938415557e-05
3.260000000000000397e-02,1.646744101906647550e+00,1.305487174906534025e-08,1.630000000000000199e-02,1.646744101906647550e+00,-7.706281586831628838e-08,8.150000000000000994e-03,1.646744101906647550e+00,-5.495372110246830468e-07,4.075000000000000497e-03,1.646744101906647550e+00,-2.416953250635654112e-06,2.037500000000000248e-03,1.646744101906647550e+00,-7.452374596280033927e-06,1.018750000000000124e-03,1.646744101906647550e+00,-1.426543791009167725e-05,5.093750000000000621e-04,1.646744101906647550e+00,-1.840345594958626987e-05,2.546875000000000311e-04,1.646744101906647550e+00,-1.990224222588272689e-05,1.273437500000000155e-04,1.646744101906647550e+00,-2.036069692734057343e-05,6.367187500000000776e-05,1.646744101906647550e+00,-2.050302486060859064e-05,3.183593750000000388e-05,1.646744101906647550e+00,-2.055138369773437578e-05,1.591796875000000194e-05,1.646744101906647550e+00,-2.056978003402547216e-05,7.958984375000000970e-06,1.646744101906647550e+00,-2.057752572622764038e-05,3.979492187500000485e-06,1.646744101906647550e+00,-2.058103483877242917e-05,1.989746093750000243e-06,1.646744101906647550e+00,-2.058269839888328490e-05,9.948730468750001213e-07,1.646744101906647550e+00,-2.058350742293150540e-05,4.974365234375000606e-07,1.646744101906647550e+00,-2.058390624513798005e-05
3.269999999999999990e-02,1.636989257168888212e+00,7.803839903228542032e-08,1.634999999999999995e-02,1.636989257168888212e+00,5.253896804976574119e-08,8.174999999999999975e-03,1.636989257168888212e+00,-2.955182754868016184e-07,4.087499999999999988e-03,1.636989257168888212e+00,-1.953466291392004546e-06,2.043749999999999994e-03,1.636989257168888212e+00,-6.774518136984669697e-06,1.021874999999999997e-03,1.636989257168888212e+00,-1.359909409521819254e-05,5.109374999999999984e-04,1.636989257168888212e+00,-1.792661774843472953e-05,2.554687499999999992e-04,1.636989257168888212e+00,-1.958742257724165926e-05,1.277343749999999996e-04,1.636989257168888212e+00,-2.013985053591261606e-05,6.386718749999999980e-05,1.636989257168888212e+00,-2.033122639795107843e-05,3.193359374999999990e-05,1.636989257168888212e+00,-2.040444245894400499e-05,1.596679687499999995e-05,1.636989257168888212e+00,-2.043532659086424967e-05,7.983398437499999976e-06,1.636989257168888212e+00,-2.044932790561399802e-05,3.991699218749999988e-06,1.636989257168888212e+00,-2.045596737432448469e-05,1.995849609374999994e-06,1.636989257168888212e+00,-2.045919670033809068e-05,9.979248046874999970e-07,1.636989257168888212e+00,-2.046078874823602668e-05,4.989624023437499985e-07,1.636989257168888212e+00,-2.046157911683451036e-05
3.280000000000000276e-02,1.620773963702336395e+00,1.427139444068819628e-07,1.640000000000000138e-02,1.620773963702336395e+00,1.819334046637339604e-07,8.200000000000000691e-03,1.620773963702336395e+00,-4.033306432501730361e-08,4.100000000000000346e-03,1.620773963702336395e+00,-1.482269893150061131e-06,2.050000000000000173e-03,1.620773963702336395e+00,-6.069925749585527006e-06,1.025000000000000086e-03,1.620773963702336395e+00,-1.287908086878596496e-05,5.125000000000000432e-04,1.620773963702336395e+00,-1.737903137692270800e-05,2.562500000000000216e-04,1.620773963702336395e+00,-1.919530032033038027e-05,1.281250000000000108e-04,1.620773963702336395e+00,-1.983952135544189542e-05,6.406250000000000540e-05,1.620773963702336395e+00,-2.007918987315465971e-05,3.203125000000000270e-05,1.620773963702336395e+00,-2.017697420767122389e-05,1.601562500000000135e-05,1.620773963702336395e+00,-2.022022424966154729e-05,8.007812500000000675e-06,1.620773963702336395e+00,-2.024042593016613963e-05,4.003906250000000337e-06,1.620773963702336395e+00,-2.025016955209261562e-05,2.001953125000000169e-06,1.620773963702336395e+00,-2.025495189933453920e-05,1.000976562500000084e-06,1.620773963702336395e+00,-2.025732068799647516e-05,5.004882812500000422e-07,1.620773963702336395e+00,-2.025849948376319280e-05
3.289999999999999869e-02,1.598162215862242830e+00,2.068262630427002309e-07,1.644999999999999934e-02,1.598162215862242830e+00,3.106098332469535441e-07,8.224999999999999672e-03,1.598162215862242830e+00,2.150113230152190901e-07,4.112499999999999836e-03,1.598162215862242830e+00,-1.005223652824581237e-06,2.056249999999999918e-03,1.598162215862242830e+00,-5.341378138338108776e-06,1.028124999999999959e-03,1.598162215862242830e+00,-1.210823979405704905e-05,5.140624999999999795e-04,1.598162215862242830e+00,-1.676285790829020814e-05,2.570312499999999898e-04,1.598162215862242830e+00,-1.872742298255332955e-05,1.285156249999999949e-04,1.598162215862242830e+00,-1.946089464799641235e-05,6.425781249999999744e-05,1.598162215862242830e+00,-1.974790995923819125e-05,3.212890624999999872e-05,1.598162215862242830e+00,-1.986987665718347373e-05,1.606445312499999936e-05,1.598162215862242830e+00,-1.992532192108720273e-05,8.032226562499999680e-06,1.598162215862242830e+00,-1.995164424054296514e-05,4.016113281249999840e-06,1.598162215862242830e+00,-1.996445356206111928e-05,2.008056640624999920e-06,1.598162215862242830e+00,-1.997077005679163793e-05,1.004028320312499960e-06,1.598162215862242830e+00,-1.997390623769092473e-05,5.020141601562499800e-07,1.598162215862242830e+00,-1.997546880845751970e-05
3.300000000000000155e-02,1.569243251887003865e+00,2.701223329082277706e-07,1.650000000000000078e-02,1.569243251887003865e+00,4.380604267224966079e-07,8.250000000000000389e-03,1.569243251887003865e+00,4.695071588928730344e-07,4.125000000000000194e-03,1.569243251887003865e+00,-5.242102539843519416e-07,2.062500000000000097e-03,1.569243251887003865e+00,-4.591750547822137052e-06,1.031250000000000049e-03,1.569243251887003865e+00,-1.128961302858947618e-05,5.156250000000000243e-04,1.569243251887003865e+00,-1.608052909771493267e-05,2.578125000000000121e-04,1.569243251887003865e+00,-1.818563706200981031e-05,1.289062500000000061e-04,1.569243251887003865e+00,-1.900546468021229967e-05,6.445312500000000304e-05,1.569243251887003865e+00,-1.933869406667445114e-05,3.222656250000000152e-05,1.569243251887003865e+00,-1.948436178121294357e-05,1.611328125000000076e-05,1.569243251887003865e+00,-1.955178344990398081e-05,8.056640625000000379e-06,1.569243251887003865e+00,-1.958412252614154684e-05,4.028320312500000190e-06,1.569243251887003865e+00,-1.959994699471136724e-05,2.014160156250000095e-06,1.569243251887003865e+00,-1.960777270861151651e-05,1.007080078125000047e-06,1.569243251887003865e+00,-1.961166390467492784e-05,5.035400390625000237e-07,1.569243251887003865e+00,-1.961360408368846014e-05
3.310000000000000442e-02,1.534131201715613457e+00,3.323523533329215821e-07,1.655000000000000221e-02,1.534131201715613457e+00,5.637821958245379804e-07,8.275000000000001105e-03,1.534131201715613457e+00,7.221500645117941003e-07,4.137500000000000552e-03,1.534131201715613457e+00,-4.112803676053048273e-08,2.068750000000000276e-03,1.534131201715613457e+00,-3.824001415665192643e-06,1.034375000000000138e-03,1.534131201715613457e+00,-1.042643131823163739e-05,5.171875000000000690e-04,1.534131201715613457e+00,-1.533473778528590079e-05,2.585937500000000345e-04,1.534131201715613457e+00,-1.757208074020981671e-05,1.292968750000000173e-04,1.534131201715613457e+00,-1.847502882610627500e-05,6.464843750000000863e-05,1.534131201715613457e+00,-1.885315718363845402e-05,3.232421875000000432e-05,1.534131201715613457e+00,-1.902195103085012692e-05,1.616210937500000216e-05,1.534131201715613457e+00,-1.910108302180418249e-05,8.081054687500001079e-06,1.534131201715613457e+00,-1.913931122726395583e-05,4.040527343750000539e-06,1.534131201715613457e+00,-1.915808839093751219e-05,2.020263671875000270e-06,1.534131201715613457e+00,-1.916739243948975684e-05,1.010131835937500135e-06,1.534131201715613457e+00,-1.917202329394414792e-05,5.050659179687500674e-07,1.534131201715613457e+00,-1.917433342420443444e-05
